,raintomorrow,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,0.9999999999999966,1.212568739752866e-14,3.5453227301077735e-15,-8.812923359704991e-15,2.3734335645641186e-15,1.4577553700697636e-15,-8.638072228705268e-15,-4.623547915712764e-15,2.8622825501057965e-14,-3.938608599416746e-15,-2.01109662176568e-14,3.521900314309087e-14,7.108510054154592e-15,-5.564939211864541e-15,-4.401567128818791e-15,2.2613390266283832e-15,1.028475916177286e-14
1,0.0,-3.362738314491575e-15,1.0000000000000098,4.0402369763617665e-15,-9.098513763735553e-15,2.430244644263939e-15,1.597175762999892e-15,-8.60882551115715e-15,-4.726958728759862e-15,2.851540770623261e-14,-3.923305221084816e-15,-2.008548560040035e-14,3.526010130396543e-14,7.229410002446758e-15,-5.5344271838998514e-15,-4.264700240898735e-15,2.341889271471122e-15,1.031109839087686e-14
2,0.0,-3.05686484859629e-15,1.287014943994738e-14,1.0000000000000022,-8.210048700322211e-15,2.5656202117631807e-15,1.7892598712213648e-15,-8.428785242754462e-15,-4.775929399554586e-15,2.813885665233025e-14,-3.845483435800669e-15,-2.020329389613317e-14,3.539348214255929e-14,7.338605276336778e-15,-5.5254716424386995e-15,-4.2386524902332535e-15,2.2624200335016062e-15,1.0112382034609399e-14
3,0.0,-3.1270372517751064e-15,1.2037634139743076e-14,4.137543030817038e-15,0.9999999999999895,2.2019527879639517e-15,1.4024458749433595e-15,-8.552445150241412e-15,-5.057124008551915e-15,2.829448098143184e-14,-3.844343463661019e-15,-2.0097949488175358e-14,3.527784350603992e-14,7.269775802147607e-15,-5.4304729677982674e-15,-4.31506714703815e-15,2.32480503369601e-15,1.0382404671401142e-14
4,0.0,-3.0385227513189622e-15,1.2498960627997885e-14,3.759109963235224e-15,-8.892957635219149e-15,1.0000000000000016,1.95972258969714e-15,-8.609537991889122e-15,-4.672038214516005e-15,2.865930812395695e-14,-3.959288137749711e-15,-2.0105939978913446e-14,3.5195759315132076e-14,7.20026577469816e-15,-5.514025745098697e-15,-4.442362197272651e-15,2.202322196153109e-15,1.0430055129972993e-14
5,0.0,-3.3103369156535265e-15,1.236393946389856e-14,3.6886970919841365e-15,-9.011902601923393e-15,2.637809004221793e-15,1.000000000000002,-8.35594483337636e-15,-4.670203363196339e-15,2.8688862931166874e-14,-3.9851472583139165e-15,-2.008443614366475e-14,3.517863255515084e-14,7.074011073629009e-15,-5.559453442275476e-15,-4.407884974284953e-15,2.270520237834733e-15,1.0385201322829443e-14
6,0.0,-3.133479555922817e-15,1.2286233840491533e-14,3.728156876891002e-15,-8.654478751816003e-15,2.381669951899929e-15,1.9181124948503005e-15,0.9999999999999905,-4.934177020586794e-15,2.8094405387893382e-14,-3.754618769774564e-15,-2.0251623069318694e-14,3.560883218816486e-14,7.25573280117171e-15,-5.736197693554319e-15,-4.286456648121262e-15,2.2944403328879876e-15,1.0097106236122056e-14
7,0.0,-2.9557061444193045e-15,1.2418327221420029e-14,3.497521770071487e-15,-9.096437000100474e-15,2.398046720041403e-15,1.7377703080575755e-15,-8.805931792788555e-15,0.9999999999999941,2.808132970830249e-14,-3.947592165190061e-15,-2.0126986241524248e-14,3.48230071601055e-14,7.45949504114681e-15,-5.158642713879985e-15,-4.53886518847737e-15,2.2557726579787876e-15,1.0574730818195062e-14
9,0.0,-3.078972787525202e-15,1.2435784073794615e-14,3.63693382877998e-15,-8.678526727889921e-15,2.3041503804784817e-15,1.618598621483265e-15,-8.41285379789731e-15,-4.752927091361965e-15,2.90681131796687e-14,0.9999999999999982,-2.0053879964240796e-14,3.472214000042007e-14,6.9377067071942e-15,-5.434865147076067e-15,-4.5847447870072585e-15,2.4416424011471615e-15,1.039383587659421e-14
10,1.0,-3.0878528675851182e-15,1.2412635776372088e-14,3.4287590316670425e-15,-8.81216531173592e-15,2.31343576002853e-15,1.6835460599173753e-15,-8.75837022098838e-15,-4.786788815683003e-15,2.8480218577899785e-14,-3.9085873852048304e-15,0.9999999999999821,3.5291418993827767e-14,7.233603056077196e-15,-5.577983984383663e-15,-4.4456406083965906e-15,2.5827537756131888e-15,1.0145536486622653e-14
16,1.0,-3.164135620181696e-15,1.2365108936762681e-14,3.309852392163748e-15,-8.68749516769185e-15,2.400857290751901e-15,1.7208456881689926e-15,-8.847089727481716e-15,-4.475586568020162e-15,2.8487628922491126e-14,-3.9022604592098276e-15,-2.0296264668928643e-14,3.530509218307998e-14,6.647460359943125e-15,-6.0298988024953815e-15,-4.218847493575595e-15,2.4216739724636227e-15,1.0000000000000104
19,0.0,,,,,,,,,,,,,,,,,
20,0.0,,,,,,,,,,,,,,,,,
21,0.0,,,,,,,,,,,,,,,,,
22,0.0,,,,,,,,,,,,,,,,,
23,0.0,,,,,,,,,,,,,,,,,
24,0.0,,,,,,,,,,,,,,,,,
25,0.0,,,,,,,,,,,,,,,,,
27,0.0,,,,,,,,,,,,,,,,,
28,1.0,,,,,,,,,,,,,,,,,
29,0.0,,,,,,,,,,,,,,,,,
30,0.0,,,,,,,,,,,,,,,,,
31,0.0,,,,,,,,,,,,,,,,,
33,0.0,,,,,,,,,,,,,,,,,
34,0.0,,,,,,,,,,,,,,,,,
35,0.0,,,,,,,,,,,,,,,,,
36,0.0,,,,,,,,,,,,,,,,,
39,0.0,,,,,,,,,,,,,,,,,
40,0.0,,,,,,,,,,,,,,,,,
41,0.0,,,,,,,,,,,,,,,,,
42,0.0,,,,,,,,,,,,,,,,,
43,0.0,,,,,,,,,,,,,,,,,
44,0.0,,,,,,,,,,,,,,,,,
48,0.0,,,,,,,,,,,,,,,,,
49,0.0,,,,,,,,,,,,,,,,,
50,0.0,,,,,,,,,,,,,,,,,
54,0.0,,,,,,,,,,,,,,,,,
55,0.0,,,,,,,,,,,,,,,,,
56,0.0,,,,,,,,,,,,,,,,,
57,0.0,,,,,,,,,,,,,,,,,
58,0.0,,,,,,,,,,,,,,,,,
59,0.0,,,,,,,,,,,,,,,,,
60,0.0,,,,,,,,,,,,,,,,,
61,0.0,,,,,,,,,,,,,,,,,
66,0.0,,,,,,,,,,,,,,,,,
67,0.0,,,,,,,,,,,,,,,,,
68,0.0,,,,,,,,,,,,,,,,,
71,0.0,,,,,,,,,,,,,,,,,
72,0.0,,,,,,,,,,,,,,,,,
73,1.0,,,,,,,,,,,,,,,,,
76,0.0,,,,,,,,,,,,,,,,,
77,0.0,,,,,,,,,,,,,,,,,
78,0.0,,,,,,,,,,,,,,,,,
79,0.0,,,,,,,,,,,,,,,,,
80,0.0,,,,,,,,,,,,,,,,,
81,0.0,,,,,,,,,,,,,,,,,
82,0.0,,,,,,,,,,,,,,,,,
83,0.0,,,,,,,,,,,,,,,,,
84,0.0,,,,,,,,,,,,,,,,,
85,0.0,,,,,,,,,,,,,,,,,
87,0.0,,,,,,,,,,,,,,,,,
91,0.0,,,,,,,,,,,,,,,,,
92,0.0,,,,,,,,,,,,,,,,,
93,0.0,,,,,,,,,,,,,,,,,
94,0.0,,,,,,,,,,,,,,,,,
96,0.0,,,,,,,,,,,,,,,,,
97,0.0,,,,,,,,,,,,,,,,,
