,sunshine,windgustspeed,humidity3pm,pressure3pm,year,day,month,windspeed3pm,temp_amplitude,cloud3pm,rainfall,climat,humidity9am,winddir3pm_sin,longitude,winddir9am_cos,cloud9am,winddir9am_sin,latitude,geography,raintoday,evaporation,windspeed9am,windgustdir_cos,raintomorrow
10082,12.4,31.0,71.0,1013.6,2009,1,1,19.0,5.400000000000002,1.0,0.0,0,84.0,0.7071067811865476,167.9785841,-0.3826834323650895,3.0,0.9238795325112868,-28.94566745,3,0,6.0,13.0,-0.3826834323650895,0
10083,10.3,31.0,77.0,1015.5,2009,2,1,6.0,5.800000000000001,5.0,0.2,0,79.0,0.7071067811865476,167.9785841,0.3826834323650898,2.0,0.9238795325112868,-28.94566745,3,0,8.0,15.0,6.123233995736766e-17,0
10084,2.0,35.0,90.0,1014.3,2009,3,1,19.0,4.0,7.0,0.0,0,87.0,-0.7071067811865477,167.9785841,0.9238795325112868,7.0,0.3826834323650898,-28.94566745,3,0,3.2,6.0,1.0,1
10085,0.0,41.0,95.0,1015.3,2009,4,1,22.0,0.5999999999999979,8.0,1.2,0,92.0,-0.3826834323650904,167.9785841,0.9238795325112864,8.0,-0.3826834323650904,-28.94566745,3,1,2.8,20.0,0.9238795325112864,1
10086,8.7,48.0,79.0,1012.7,2009,6,1,24.0,4.0,3.0,0.0,0,84.0,-0.3826834323650904,167.9785841,0.9238795325112864,5.0,-0.3826834323650904,-28.94566745,3,0,3.0,30.0,1.0,0
10087,6.0,52.0,79.0,1013.0,2009,7,1,31.0,4.0,2.0,0.0,0,86.0,-0.3826834323650904,167.9785841,0.9238795325112864,6.0,-0.3826834323650904,-28.94566745,3,0,7.2,28.0,0.9238795325112864,0
10088,6.0,52.0,82.0,1009.4,2009,8,1,28.0,3.5,6.0,0.0,0,82.0,-0.7071067811865477,167.9785841,0.9238795325112864,6.0,-0.3826834323650904,-28.94566745,3,0,4.4,28.0,1.0,0
10089,0.0,61.0,95.0,1000.4,2009,9,1,33.0,1.1000000000000014,8.0,0.0,0,92.0,-0.9238795325112866,167.9785841,0.38268343236509,8.0,-0.9238795325112866,-28.94566745,3,0,5.0,28.0,0.38268343236509,1
10090,1.2,54.0,82.0,1006.9,2009,11,1,28.0,3.1000000000000014,7.0,0.4,0,83.0,-0.7071067811865477,167.9785841,0.7071067811865474,7.0,-0.7071067811865477,-28.94566745,3,0,5.4,30.0,0.7071067811865474,0
10091,12.0,37.0,78.0,1010.5,2009,12,1,22.0,4.0,5.0,0.0,0,78.0,-0.7071067811865477,167.9785841,0.7071067811865474,5.0,-0.7071067811865477,-28.94566745,3,0,4.0,24.0,0.7071067811865474,0
10092,7.1,35.0,77.0,1010.4,2009,13,1,20.0,4.0,7.0,0.0,0,77.0,-0.7071067811865477,167.9785841,-1.8369701987210287e-16,7.0,-1.0,-28.94566745,3,0,7.2,22.0,0.38268343236509,1
