,sunshine,windgustspeed,humidity3pm,pressure3pm,year,day,month,windspeed3pm,temp_amplitude,cloud3pm,rainfall,climat,humidity9am,winddir3pm_sin,longitude,winddir9am_cos,cloud9am,winddir9am_sin,latitude,geography,raintoday,evaporation,windspeed9am,windgustdir_cos,raintomorrow
36310,6.5,59.0,99.0,1010.5,2009,1,1,28.0,4.100000000000001,6.0,0.0,3,97.0,-0.7071067811865471,141.6090764,-0.7071067811865479,7.0,-0.7071067811865471,-38.32587758,1,0,4.8,28.0,-0.7071067811865479,1
36311,11.7,39.0,61.0,1021.3,2009,2,1,17.0,6.6,2.0,1.6,3,60.0,-1.0,141.6090764,-0.7071067811865479,6.0,-0.7071067811865471,-38.32587758,1,1,4.8,20.0,-0.3826834323650903,0
36312,11.9,30.0,52.0,1018.3,2009,3,1,15.0,16.4,3.0,0.2,3,67.0,-0.3826834323650904,141.6090764,0.7071067811865476,6.0,0.7071067811865476,-38.32587758,1,0,4.6,9.0,-1.8369701987210287e-16,0
36313,13.8,28.0,63.0,1015.2,2009,4,1,17.0,15.3,1.0,0.0,3,73.0,-1.0,141.6090764,1.0,1.0,0.0,-38.32587758,1,0,4.8,11.0,-1.8369701987210287e-16,0
36314,13.6,46.0,68.0,1013.4,2009,5,1,31.0,14.4,3.0,0.0,3,72.0,1.2246467991473532e-16,141.6090764,-1.0,4.0,1.2246467991473532e-16,-38.32587758,1,0,5.6,20.0,-1.0,0
36315,8.0,50.0,57.0,1012.8,2009,7,1,28.0,5.800000000000001,6.0,1.4,3,88.0,1.2246467991473532e-16,141.6090764,-0.7071067811865479,8.0,-0.7071067811865471,-38.32587758,1,1,4.8,9.0,-0.9238795325112868,0
36316,11.7,39.0,50.0,1021.5,2009,8,1,22.0,5.399999999999999,3.0,0.0,3,58.0,-1.0,141.6090764,-0.3826834323650903,6.0,-0.9238795325112864,-38.32587758,1,0,5.8,20.0,-1.8369701987210287e-16,0
36317,9.9,35.0,51.0,1019.7,2009,9,1,19.0,7.1,3.0,0.0,3,56.0,-0.3826834323650904,141.6090764,0.7071067811865474,7.0,-0.7071067811865477,-38.32587758,1,0,5.2,17.0,0.7071067811865474,0
36318,13.8,33.0,56.0,1013.0,2009,10,1,19.0,6.699999999999999,1.0,0.0,3,71.0,-0.9238795325112866,141.6090764,1.0,6.0,0.0,-38.32587758,1,0,5.2,15.0,0.9238795325112864,0
36319,11.6,24.0,64.0,1017.5,2009,12,1,13.0,8.200000000000001,2.0,0.2,3,89.0,-0.9238795325112866,141.6090764,-0.9238795325112868,8.0,0.3826834323650899,-38.32587758,1,0,4.8,9.0,-1.8369701987210287e-16,0
36320,13.0,48.0,14.0,1006.7,2009,13,1,30.0,25.8,1.0,0.0,3,51.0,1.2246467991473532e-16,141.6090764,6.123233995736766e-17,1.0,1.0,-38.32587758,1,0,6.0,15.0,-0.7071067811865475,0
36321,12.1,54.0,58.0,1017.5,2009,15,1,30.0,9.5,3.0,0.0,3,61.0,-0.3826834323650896,141.6090764,-1.0,2.0,1.2246467991473532e-16,-38.32587758,1,0,5.0,20.0,-0.9238795325112868,0
36322,12.0,52.0,47.0,1022.7,2009,16,1,26.0,4.600000000000001,5.0,0.0,3,51.0,-0.7071067811865471,141.6090764,-0.7071067811865479,2.0,-0.7071067811865471,-38.32587758,1,0,6.6,28.0,-0.9238795325112868,0
