,sunshine,windgustspeed,humidity3pm,pressure3pm,year,day,month,windspeed3pm,temp_amplitude,cloud3pm,rainfall,climat,humidity9am,winddir3pm_sin,longitude,winddir9am_cos,cloud9am,winddir9am_sin,latitude,geography,raintoday,evaporation,windspeed9am,windgustdir_cos,raintomorrow
3787,10.6,46.0,22.0,1009.2,2009,4,1,15.0,18.200000000000003,6.0,0.0,1,42.0,0.9238795325112868,145.6644082,0.3826834323650898,1.0,0.9238795325112868,-31.06808721,2,0,10.8,30.0,0.3826834323650898,0
3788,12.2,31.0,22.0,1009.1,2009,5,1,6.0,16.5,5.0,0.0,1,37.0,-0.3826834323650896,145.6644082,-0.9238795325112868,1.0,0.3826834323650899,-31.06808721,2,0,11.4,6.0,-0.9238795325112868,0
3789,0.0,43.0,19.0,1007.4,2009,7,1,20.0,9.0,8.0,0.0,1,26.0,0.3826834323650899,145.6644082,6.123233995736766e-17,8.0,1.0,-31.06808721,2,0,13.0,7.0,6.123233995736766e-17,0
3790,12.6,41.0,15.0,1009.9,2009,8,1,19.0,10.7,1.0,0.0,1,33.0,-0.9238795325112866,145.6644082,-1.8369701987210287e-16,3.0,-1.0,-31.06808721,2,0,9.8,17.0,-0.3826834323650903,0
3791,12.3,48.0,28.0,1004.0,2009,10,1,9.0,16.5,5.0,0.0,1,46.0,-0.3826834323650896,145.6644082,0.9238795325112868,1.0,0.3826834323650898,-31.06808721,2,0,12.0,30.0,0.9238795325112868,0
3792,12.7,41.0,14.0,1005.8,2009,11,1,17.0,15.8,5.0,0.0,1,61.0,-0.3826834323650896,145.6644082,0.3826834323650898,1.0,0.9238795325112868,-31.06808721,2,0,11.0,15.0,0.7071067811865476,0
3793,13.2,30.0,9.0,1010.1,2009,12,1,7.0,16.9,1.0,0.0,1,27.0,0.3826834323650898,145.6644082,0.7071067811865474,0.0,-0.7071067811865477,-31.06808721,2,0,12.8,11.0,1.0,0
3794,12.1,39.0,15.0,1010.4,2009,13,1,9.0,15.200000000000005,2.0,0.0,1,40.0,1.0,145.6644082,0.7071067811865476,0.0,0.7071067811865476,-31.06808721,2,0,13.8,24.0,0.9238795325112868,0
3795,11.3,61.0,19.0,1013.5,2009,18,1,17.0,16.300000000000004,2.0,0.0,1,46.0,-0.7071067811865477,145.6644082,0.7071067811865476,1.0,0.7071067811865476,-31.06808721,2,0,12.0,22.0,0.7071067811865474,0
3796,3.7,46.0,52.0,1009.8,2009,21,1,28.0,8.100000000000001,7.0,0.0,1,46.0,1.0,145.6644082,-0.7071067811865475,4.0,0.7071067811865476,-31.06808721,2,0,13.6,9.0,6.123233995736766e-17,0
3797,5.9,56.0,63.0,1006.2,2009,22,1,19.0,8.899999999999999,7.0,0.0,1,71.0,1.0,145.6644082,6.123233995736766e-17,7.0,1.0,-31.06808721,2,0,8.0,24.0,-0.9238795325112868,1
3798,13.2,31.0,16.0,1012.1,2009,26,1,7.0,16.099999999999998,1.0,0.0,1,50.0,0.0,145.6644082,0.9238795325112868,0.0,0.3826834323650898,-31.06808721,2,0,12.6,17.0,-1.8369701987210287e-16,0
3799,13.0,46.0,22.0,1012.6,2009,27,1,7.0,11.700000000000005,3.0,0.0,1,45.0,-0.3826834323650904,145.6644082,0.9238795325112868,1.0,0.3826834323650898,-31.06808721,2,0,14.2,24.0,0.9238795325112868,0
3800,11.3,30.0,16.0,1009.8,2009,1,2,9.0,15.999999999999996,3.0,0.0,1,34.0,-0.9238795325112866,145.6644082,-1.0,5.0,1.2246467991473532e-16,-31.06808721,2,0,13.4,9.0,0.7071067811865474,0
3801,12.2,54.0,17.0,1005.0,2009,3,2,11.0,16.799999999999997,2.0,0.6,1,42.0,-0.9238795325112864,145.6644082,1.0,1.0,0.0,-31.06808721,2,0,11.8,9.0,-0.9238795325112868,1
