,date,location,climat
9,2008-12-11,Albury,chaud_humide
10,2008-12-17,Albury,chaud_humide
19,2008-12-29,Albury,chaud_humide
49,2009-02-12,Albury,chaud_humide
68,2009-03-10,Albury,chaud_humide
70,2009-03-12,Albury,chaud_humide
78,2009-03-25,Albury,chaud_humide
86,2009-04-10,Albury,chaud_humide
111,2009-05-25,Albury,chaud_humide
117,2009-06-20,Albury,chaud_humide
118,2009-06-21,Albury,chaud_humide
119,2009-06-23,Albury,chaud_humide
120,2009-06-25,Albury,chaud_humide
121,2009-06-27,Albury,chaud_humide
127,2009-07-13,Albury,chaud_humide
135,2009-08-07,Albury,chaud_humide
138,2009-08-11,Albury,chaud_humide
139,2009-08-13,Albury,chaud_humide
140,2009-08-15,Albury,chaud_humide
147,2009-08-28,Albury,chaud_humide
148,2009-08-31,Albury,chaud_humide
150,2009-09-03,Albury,chaud_humide
156,2009-09-09,Albury,chaud_humide
162,2009-09-17,Albury,chaud_humide
164,2009-09-21,Albury,chaud_humide
172,2009-10-02,Albury,chaud_humide
173,2009-10-06,Albury,chaud_humide
178,2009-10-12,Albury,chaud_humide
217,2009-11-28,Albury,chaud_humide
225,2009-12-08,Albury,chaud_humide
262,2010-02-01,Albury,chaud_humide
272,2010-02-21,Albury,chaud_humide
285,2010-03-28,Albury,chaud_humide
291,2010-04-10,Albury,chaud_humide
299,2010-04-23,Albury,chaud_humide
304,2010-05-04,Albury,chaud_humide
315,2010-05-24,Albury,chaud_humide
324,2010-06-16,Albury,chaud_humide
328,2010-06-25,Albury,chaud_humide
332,2010-06-30,Albury,chaud_humide
334,2010-07-10,Albury,chaud_humide
337,2010-07-18,Albury,chaud_humide
343,2010-07-28,Albury,chaud_humide
346,2010-08-09,Albury,chaud_humide
347,2010-08-14,Albury,chaud_humide
352,2010-08-23,Albury,chaud_humide
359,2010-09-03,Albury,chaud_humide
385,2010-10-06,Albury,chaud_humide
390,2010-10-12,Albury,chaud_humide
395,2010-10-23,Albury,chaud_humide
397,2010-10-26,Albury,chaud_humide
400,2010-10-29,Albury,chaud_humide
407,2010-11-07,Albury,chaud_humide
412,2010-11-13,Albury,chaud_humide
422,2010-11-25,Albury,chaud_humide
423,2010-11-30,Albury,chaud_humide
424,2010-12-02,Albury,chaud_humide
428,2010-12-07,Albury,chaud_humide
454,2011-01-09,Albury,chaud_humide
474,2011-02-10,Albury,chaud_humide
478,2011-02-18,Albury,chaud_humide
485,2011-02-27,Albury,chaud_humide
500,2011-03-23,Albury,chaud_humide
506,2011-05-12,Albury,chaud_humide
513,2011-06-03,Albury,chaud_humide
527,2011-07-03,Albury,chaud_humide
540,2011-08-05,Albury,chaud_humide
541,2011-08-09,Albury,chaud_humide
556,2011-09-04,Albury,chaud_humide
564,2011-09-20,Albury,chaud_humide
574,2011-10-06,Albury,chaud_humide
576,2011-10-09,Albury,chaud_humide
589,2011-10-24,Albury,chaud_humide
592,2011-10-28,Albury,chaud_humide
601,2011-11-06,Albury,chaud_humide
613,2011-11-21,Albury,chaud_humide
616,2011-11-29,Albury,chaud_humide
625,2011-12-10,Albury,chaud_humide
632,2011-12-18,Albury,chaud_humide
637,2011-12-24,Albury,chaud_humide
649,2012-01-07,Albury,chaud_humide
651,2012-01-11,Albury,chaud_humide
669,2012-01-29,Albury,chaud_humide
677,2012-02-09,Albury,chaud_humide
678,2012-02-11,Albury,chaud_humide
690,2012-02-29,Albury,chaud_humide
707,2012-03-28,Albury,chaud_humide
