,ville,climat
0,Albury,Chaud humide
1,Badgerys Creek,Sec
2,Cobar,Chaud humide
3,Coffs Harbour,Tempéré froid
4,Moree,Tempéré froid
5,Norah Head,Chaud humide
6,Norfolk Island,Chaud humide
7,Sydney,Tempéré froid
8,Sydney Airport,Sec
9,Wagga Wagga,Chaud humide
10,Williamtown,Méditerranéen
11,Wollongong,Chaud humide
12,Canberra,Chaud humide
13,Tuggeranong,Tempéré froid
14,Ballarat,Chaud humide
15,Bendigo,Tempéré froid
16,Sale,Tempéré froid
17,Melbourne Airport,Tempéré froid
18,Melbourne,Sec
19,Mildura,Chaud humide
20,Portland,Méditerranéen
21,Watsonia,Chaud humide
22,Dartmoor,Chaud humide
23,Brisbane,Sec
24,Cairns,Méditerranéen
25,Gold Coast,Méditerranéen
26,Townsville,Méditerranéen
27,Mount Gambier,Méditerranéen
28,Nuriootpa,Tempéré froid
29,Woomera,Chaud humide
30,Witchcliffe,Chaud humide
31,Pearce RAAF,Chaud humide
32,Perth Airport,Tempéré froid
33,Perth,Sec
34,Walpole,Chaud humide
35,Hobart,Méditerranéen
36,Launceston,Tempéré froid
37,Alice Springs,Chaud humide
38,Darwin,Méditerranéen
39,Katherine,Tempéré froid
40,Uluru,Sec
